시설번호,지역코드,시설일련번호,시도명,시군구명,수용시설명,법정동코드,행정동코드,상세주소,시설면적,경도,위도,X좌표,Y좌표
1579,1130500000,75,서울특별시,강북구,구세군길 마을마당,1130510100,1130553100,서울특별시 강북구 미아동 791-1343,524,127.014709,37.626754,201298.4799,558572.394
1580,1147000000,130,서울특별시,양천구,나말어린이공원,1147010200,1147054000,서울특별시 양천구 목동중앙남로3가길 68(목동),1002,126.864595,37.53863,188032.9119,548800.2294
1581,1147000000,133,서울특별시,양천구,창의어린이놀이터(목동근린공원),1147010200,1147051000,서울특별시 양천구 목동 517,6606,126.878566,37.546619,189268.8157,549685.1627
1582,1147000000,131,서울특별시,양천구,모세미어린이공원,1147010200,1147051000,서울특별시 양천구 목동 772-1,988,126.868684,37.53523,188393.7598,548422.3429
1583,1144000000,95,서울특별시,마포구,성황당어린이공원(뒤뜰어린이공원),1144012500,1144072000,서울특별시 마포구 성산동 147-5,1333,126.907309,37.569047,191811.2826,552171.5337
1584,1138000000,89,서울특별시,은평구,영락중학교 운동장,1138010700,1138058000,"서울특별시 은평구 백련산로 126-2 (응암동, )",3240,126.925235,37.596384,193397.4098,555204.2592
1393,1162000000,94,서울특별시,관악구,남부창의어린이공원,1162010200,1162068500,서울특별시 관악구 남부순환로163가길 20(신림동),999,126.920578,37.484983,192975.631,542840.4463
1394,1126000000,63,서울특별시,중랑구,수림대공원(서울장미공원),1126010400,1126062000,서울특별시 중랑구 묵동 375,1620,127.073092,37.615153,206453.2505,557287.2096
1395,1150000000,68,서울특별시,강서구,무지개어린이공원,1150010300,1150054000,서울특별시 강서구 화곡동 806-10,976,126.861292,37.53396,187740.2789,548282.2607
1396,1150000000,76,서울특별시,강서구,더부리어린이공원,1150010300,1150054000,서울특별시 강서구 화곡동 339-19,1364,126.84673,37.534883,186453.3468,548386.6996
1397,1150000000,81,서울특별시,강서구,공암나루근린공원,1150010400,1150060300,서울특별시 강서구 강서로80길 117(가양동),24176,126.849845,37.570282,186734.9327,552315.1838
1398,1153000000,40,서울특별시,구로구,고원초등학교 운동장,1153010600,1153072000,서울특별시 구로구 경인로46길 13(고척동),1196,126.865362,37.497209,188094.0853,544202.9173
1399,1153000000,45,서울특별시,구로구,개웅초등학교 운동장,1153010700,1153076000,서울특별시 구로구 개봉로11길 81(개봉동),2252,126.851256,37.487265,186844.999,543101.1002
1400,1153000000,58,서울특별시,구로구,신도림고등학교 운동장,1153010100,1153051000,서울특별시 구로구 경인로67길 159(신도림동),2116,126.881575,37.513554,189530.1242,546015.0255
1401,1121500000,23,서울특별시,광진구,구의초등학교 운동장,1121510700,1121571000,서울특별시 광진구 광나루로30길 49(화양동),3297,127.080152,37.542715,207083.4647,549248.0138
1402,1121500000,33,서울특별시,광진구,광남초등학교 운동장,1121510400,1121581000,서울특별시 광진구 아차산로70길 35(광장동),3048,127.101022,37.540826,208928.0684,549040.1499
1403,1121500000,37,서울특별시,광진구,용마초등학교 운동장,1121510100,1121575000,서울특별시 광진구 천호대로113길 10(중곡동),3583,127.084172,37.557891,207437.2107,550932.5896
1404,1121500000,41,서울특별시,광진구,중광초등학교 운동장 ,1121510100,1121576000,서울특별시 광진구 긴고랑로13길 59(중곡동),653,127.082631,37.565008,207300.3484,551722.4042
1405,1120000000,65,서울특별시,성동구,왕십리문화공원,1120010400,1120053500,서울특별시 성동구 왕십리로 310(도선동),1315,127.035292,37.561792,203118.1561,551362.8358
